"method","n_used","mean_score_gap_at_reference","p95_score_gap_at_reference","mean_relative_hessian_gap_at_reference","p95_relative_hessian_gap_at_reference","mean_score_gap_at_surrogate","mean_relative_hessian_gap_at_surrogate"
"spline",10,0.00971853660114135,0.0246264047073923,0.0650011171287327,0.147502805968669,0.0101553079327159,0.0487509898596969
"chebyshev",9,0.0109420380888085,0.0227111323421718,0.0676255436142867,0.148227074635742,0.0115676405151187,0.0621769516860789
