"benchmark","replicate","clip_share_any","clip_share_x","clip_share_q","clip_share_t","n_points","total_weight"
"Example 1 practical",29,0.0583333333333333,0.00416666666666667,0.0541666666666667,0,240,240
"Example 1 practical",30,0.00416666666666667,0,0.00416666666666667,0,240,240
"Example 1 practical",31,0.0625,0.00833333333333333,0.0541666666666667,0,240,240
"Example 1 practical",32,0.0541666666666667,0.00833333333333333,0.0458333333333333,0,240,240
"Example 1 practical",33,0.0375,0.00833333333333333,0.0375,0,240,240
"Example 1 practical",34,0.0375,0.00833333333333333,0.0291666666666667,0,240,240
"Example 1 practical",35,0.05,0,0.05,0,240,240
"Example 1 practical",36,0.0583333333333333,0.00833333333333333,0.05,0,240,240
"Example 1 practical",37,0.0583333333333333,0,0.0583333333333333,0,240,240
"Example 1 practical",38,0.0416666666666667,0.0125,0.0333333333333333,0,240,240
"Example 1 practical",39,0.0166666666666667,0,0.0166666666666667,0,240,240
"Example 1 practical",40,0.0666666666666667,0.0166666666666667,0.05,0,240,240
"Example 1 practical",42,0.0541666666666667,0.0166666666666667,0.0375,0,240,240
"Example 1 practical",43,0.0416666666666667,0,0.0416666666666667,0,240,240
"Example 1 practical",45,0.0583333333333333,0,0.0583333333333333,0,240,240
"Example 1 practical",46,0.0291666666666667,0.00833333333333333,0.0208333333333333,0,240,240
"Example 1 practical",47,0.0458333333333333,0.0125,0.0458333333333333,0,240,240
"Example 1 practical",48,0.0583333333333333,0.0208333333333333,0.0375,0,240,240
"Example 1 practical",49,0.0416666666666667,0,0.0416666666666667,0,240,240
"Example 1 practical",50,0.0625,0.0291666666666667,0.0375,0,240,240
"Example 2 practical",1,0.0110642287857478,0,0.00825128926394749,0.00281293952180028,42660,42660
"Example 2 practical",2,0.00476851851851852,0,0.00337962962962963,0.00138888888888889,43200,43200
"Example 2 practical",3,0.00709617180205415,0,0.00149393090569561,0.00560224089635854,42840,42840
"Example 2 practical",4,0.00638148667601683,0,0.00217391304347826,0.00420757363253857,42780,42780
"Example 2 practical",5,0.00461288827074641,0,0.00183124710245712,0.00278164116828929,43140,43140
"Example 2 practical",6,0.00317686107159791,0,0.000331910858226648,0.00284495021337127,42180,42180
"Example 2 practical",7,0.00520244821092279,0,0.000965160075329567,0.00423728813559322,42480,42480
"Example 2 practical",8,0.00906040268456376,0,0.00771812080536913,0.00134228187919463,44700,44700
"Example 2 practical",9,0.000520094562647754,0,0.000520094562647754,0,42300,42300
"Example 2 practical",10,0.00840355805243446,0,0.00559456928838951,0.00280898876404494,42720,42720
"Example 2 practical",11,0.0072463768115942,0,0.000233754090696587,0.00701262272089762,42780,42780
"Example 2 practical",12,0.0046731123388582,0,0.00329189686924494,0.00138121546961326,43440,43440
"Example 2 practical",13,0.0111111111111111,0,0.00138888888888889,0.00972222222222222,43200,43200
"Example 2 practical",14,0.0101916783543712,0,0.00458158017765311,0.00561009817671809,42780,42780
"Example 2 practical",15,0.00732323232323232,0,0.00181359044995409,0.00550964187327824,43560,43560
"Example 2 practical",16,0.00552434456928839,0,0.00131086142322097,0.00421348314606742,42720,42720
"Example 2 practical",17,0.0070078377132319,0,0.00424158598432457,0.00276625172890733,43380,43380
"Example 2 practical",18,0.00952045133991537,0,0.00105782792665726,0.00846262341325811,42540,42540
"Example 2 practical",19,0.00737089201877934,0,0.00314553990610329,0.00422535211267606,42600,42600
"Example 2 practical",20,0.00216783216783217,0,0.000769230769230769,0.0013986013986014,42900,42900
"Example 2 practical",21,0.00714955461790905,0,0.00293014533520863,0.00421940928270042,42660,42660
"Example 2 practical",22,0.00662540119211371,0,0.00112333791838606,0.00550206327372765,43620,43620
"Example 2 practical",23,0.00380559376432829,0,0.00105456212746447,0.00275103163686382,43620,43620
"Example 2 practical",24,0.00181818181818182,0,0.00181818181818182,0,42900,42900
"Example 2 practical",25,0.00861989912883998,0,0.00036680421824851,0.00825309491059147,43620,43620
"Example 2 practical",26,0.00760869565217391,0,0.00615942028985507,0.00144927536231884,41400,41400
