"replicate","method","converged","beta_intercept","beta_intercept_gap_vs_reference","beta_x1","beta_x1_gap_vs_reference","delta","delta_gap_vs_reference","b","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","beta_intercept_error_vs_truth","beta_x1_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
32,"reference",TRUE,-0.154256604872149,0,0.696311474345287,0,6.38701841409629,0,0.356745956743961,0,0.387018414096287,0.00674595674396145,0.195743395127851,-0.203688525654713,0,0
32,"spline",TRUE,-0.149521137358624,0.00473546751352527,0.666973798868331,-0.0293376754769562,6.40164118169279,0.0146227675965038,0.371989284021576,0.0152433272776142,0.401641181692791,0.0219892840215756,0.200478862641376,-0.233026201131669,-0.0120566521825083,0.00743048939829887
32,"chebyshev",TRUE,-0.149967306135581,0.00428929873656847,0.665872735979963,-0.0304387383653241,6.39514670329373,0.00812828919744746,0.37560738036591,0.0188614236219483,0.395146703293735,0.0256073803659097,0.200032693864419,-0.234127264020037,0.0124898580299657,0.00769747325153497
33,"reference",TRUE,-0.411421078602009,0,1.10256674799236,0,6.06878502459577,0,0.175449189204414,0,0.0687850245957673,-0.174550810795586,-0.061421078602009,0.202566747992361,0,0
33,"spline",TRUE,-0.412036030876269,-0.000614952274259783,1.100565720713,-0.00200102727936224,6.06064790784298,-0.00813711675278306,0.180060935832316,0.0046117466279017,0.0606479078429842,-0.169939064167684,-0.0620360308762688,0.200565720712999,-0.0444906432252594,0.0298198598278229
33,"chebyshev",TRUE,-0.41308531810766,-0.00166423950565053,1.10129805448478,-0.00126869350758052,6.05577531911853,-0.0130097054772342,0.180610634419391,0.00516144521497677,0.0557753191185331,-0.169389365580609,-0.0630853181076595,0.201298054484781,-0.0427395164899735,0.0286461668892292
34,"reference",TRUE,-0.396923161232519,0,1.06274597304959,0,5.22617631290236,0,0.267985461566443,0,-0.773823687097643,-0.0820145384335572,-0.0469231612325186,0.162745973049593,0,0
34,"spline",TRUE,-0.397739167779704,-0.000816006547185166,1.06063359139456,-0.00211238165503036,5.19393169528194,-0.0322446176204174,0.286971443930936,0.0189859823644932,-0.80606830471806,-0.063028556069064,-0.0477391677797038,0.160633591394563,0.0543280894091396,0.0428685942615112
34,"chebyshev",TRUE,-0.397742490532271,-0.000819329299752647,1.06063065853226,-0.00211531451733249,5.19183467855688,-0.0343416343454761,0.288199678408317,0.020214216841874,-0.808165321443119,-0.0618003215916832,-0.0477424905322713,0.16063065853226,0.0614134939022222,0.048459465092716
35,"reference",TRUE,-0.355670229921394,0,0.921520095551084,0,6.45189468474798,0,0.392849110011012,0,0.451894684747977,0.0428491100110122,-0.00567022992139404,0.0215200955510837,0,0
35,"spline",TRUE,-0.366541228787512,-0.0108709988661181,0.919018980217335,-0.00250111533374842,6.47488120136706,0.0229865166190795,0.405825758592863,0.0129766485818506,0.474881201367056,0.0558257585928628,-0.0165412287875122,0.0190189802173353,0.0764086081089772,0.0440876132406081
35,"chebyshev",TRUE,-0.367292473863566,-0.011622243942172,0.921481462476063,-3.86330750210551e-05,6.47929685632,0.0274021715720227,0.408815346964818,0.015966236953806,0.47929685632,0.0588153469648182,-0.0172924738635661,0.0214814624760626,0.0848403567262324,0.048952715238663
36,"reference",TRUE,-0.172490685297421,0,0.69615431119895,0,7.25133865375698,0,0.210693356702844,0,1.25133865375698,-0.139306643297156,0.177509314702579,-0.20384568880105,0,0
36,"spline",TRUE,-0.176180850193375,-0.00369016489595445,0.704643858354106,0.00848954715515582,7.35435177050821,0.10301311675123,0.238528801999123,0.0278354452962783,1.35435177050821,-0.111471198000877,0.173819149806625,-0.195356141645894,0.18377206153059,0.103418286564574
36,"chebyshev",TRUE,-0.175974469498916,-0.00348378420149495,0.705522036093496,0.00936772489454585,7.35555527744911,0.104216623692127,0.23772054226526,0.0270271855624158,1.35555527744911,-0.11227945773474,0.174025530501084,-0.194477963906504,0.177897219465052,0.100112201324004
37,"reference",TRUE,-0.101007937857818,0,0.547488506830838,0,6.85877918584481,0,0.253650325537301,0,0.858779185844808,-0.0963496744626988,0.248992062142182,-0.352511493169162,0,0
