"config","method","reference_cap","table_points","table_build_seconds","fit_seconds","total_offline_seconds","mean_value_error","median_value_error","max_value_error","optimization_time_seconds","converged","delta_gap_vs_reference","b_gap_vs_reference","reference_criterion_drop"
"coarse","spline",400,1573,0.65,0.32,0.97,0.00345248281997245,0.00225635371699612,0.0514364163068433,1,TRUE,0.0165542897053728,0.0116646310961055,0.0205475721862172
"coarse","chebyshev",400,343,0.14,0.0600000000000005,0.2,0.00415921355211152,0.00222125344486535,0.0711577217885151,0.829999999999999,TRUE,0.026021724696168,0.00709565076446422,0.0094937590327504
"baseline","spline",700,2873,1.27,1.44,2.71,0.0011537942127981,0.000410578973729203,0.0286087247721349,1.19,TRUE,0.0179800278764048,0.0113842672472287,0.019820043740566
"baseline","chebyshev",700,729,0.359999999999999,0.19,0.549999999999999,0.00161750395265928,0.000535533682363032,0.0353591720473519,0.92,TRUE,0.0209771177216229,0.0147741091011409,0.0329020688553783
"fine","spline",900,4725,1.98,7.16,9.14,0.000919710643064175,0.00015474512448424,0.0372301221845008,1.18,TRUE,0.0179265826358055,0.0115130735149016,0.0202337301363684
"fine","chebyshev",900,1331,0.66,0.949999999999999,1.61,0.000998154856308768,0.000158849102434577,0.0309752058383308,1,TRUE,0.0223698436940438,0.00909493107310089,0.0136966358427344
