"method","sup_value_error","mean_value_error","sup_grad_error","mean_grad_error","sup_hess_error","mean_hess_error"
"spline",0.0995545530352895,0.0027443943417636,1.66449671686772,0.0560898303375557,40.0436019266318,0.378844095843728
"chebyshev",0.166674795501918,0.00412842330872373,1.63583650458917,0.0591126775570469,40.0886433035847,0.461216367514116
