"replicate","method","converged","positive_definite","delta_hat","b_hat","lambda_min","lambda_max","condition_number","delta_se_proxy","b_se_proxy","relative_covariance_gap_vs_reference","abs_delta_se_gap_vs_reference","abs_b_se_gap_vs_reference"
1,"reference",TRUE,TRUE,4.83613776344395,0.227161126769894,12.0992041663985,268.132682065835,22.1611833620003,0.287433957628078,0.0613292832593698,NA,NA,NA
1,"spline",TRUE,TRUE,4.86170216523835,0.230116739054991,11.0948159822822,270.016651311399,24.3371906070908,0.300206751651243,0.0609226227917552,0.091618915736392,0.0127727940231653,0.000406660467614589
1,"chebyshev",TRUE,TRUE,4.8610469784005,0.227731940544209,11.1269808665807,238.093459667123,21.3978492928144,0.299768073723647,0.0648904589641961,0.0883560718876677,0.0123341160955688,0.00356117570482632
2,"reference",TRUE,TRUE,7.05614349913796,0.415666702537031,5.09302724184817,164.481929698313,32.2955134319339,0.442714613194914,0.0801894305150747,NA,NA,NA
2,"spline",TRUE,TRUE,7.10408500899723,0.436884683266058,5.10691570061604,150.943129739466,29.5566127557693,0.442204075918945,0.0830269362733195,0.0081723509050081,0.00051053727596817,0.00283750575824479
2,"chebyshev",TRUE,TRUE,7.10776381222942,0.434600484121894,5.23802401415712,158.618000966395,30.2820301200775,0.436706678269091,0.0806437761797282,0.0308676340456314,0.00600793492582208,0.000454345664653563
3,"reference",TRUE,TRUE,5.07703447702282,0.326091184946031,10.628439435811,182.931472835844,17.2115082313479,0.306423752004186,0.0752210213365702,NA,NA,NA
3,"spline",TRUE,TRUE,5.16257913699313,0.366057547049371,10.6033845366859,177.572714128048,16.7467956588461,0.306981699958212,0.075519810155883,0.0242221402982729,0.000557947954026139,0.000298788819312779
3,"chebyshev",TRUE,TRUE,5.1612343425279,0.373450292249428,10.6158197971849,196.976886978821,18.5550330301439,0.306812830431914,0.0717053810202042,0.0263954608315937,0.000389078427728173,0.00351564031636598
4,"reference",TRUE,FALSE,5.73985394236583,0.428309839351027,-62.3564295599336,246.127874390551,NA,NA,NA,NA,NA,NA
4,"spline",TRUE,TRUE,5.78329813136481,0.446427444048352,7.66066633302308,195.860000867027,25.566966677915,0.36112622816569,0.0723220760500051,NA,NA,NA
4,"chebyshev",TRUE,TRUE,5.77091073242058,0.448702339078883,7.67093776065932,191.886004408857,25.0146736156499,0.360875297902425,0.0730931242677826,NA,NA,NA
5,"reference",FALSE,FALSE,7.45241000943832,0.357320249070043,NA,NA,NA,NA,NA,NA,NA,NA
5,"spline",TRUE,TRUE,7.47019115991095,0.371867701119294,4.47327710693022,171.865033950519,38.4203861827066,0.472483063213977,0.0782817276629254,NA,NA,NA
5,"chebyshev",TRUE,TRUE,7.46792499601943,0.373901200920995,4.46908613021897,175.199377895033,39.2025064610802,0.472702775135728,0.0775839046229964,NA,NA,NA
