"method","n","convergence_rate","beta_intercept_gap_vs_reference_mean_abs","beta_intercept_gap_vs_reference_sd","beta_x1_gap_vs_reference_mean_abs","beta_x1_gap_vs_reference_sd","delta_gap_vs_reference_mean_abs","delta_gap_vs_reference_sd","b_gap_vs_reference_mean_abs","b_gap_vs_reference_sd","beta_intercept_error_vs_truth_mean_abs","beta_intercept_error_vs_truth_sd","beta_x1_error_vs_truth_mean_abs","beta_x1_error_vs_truth_sd","delta_error_vs_truth_mean_abs","delta_error_vs_truth_sd","b_error_vs_truth_mean_abs","b_error_vs_truth_sd","mean_abs_exact_criterion_gap","mean_abs_exact_criterion_gap_pct","optimization_time","fncount","grcount"
"reference",50,0.86,0,0,0,0,0,0,0,0,0.121059486443927,0.160223196924409,0.187610860833377,0.220101470185789,0.657727105024364,0.801172466082735,0.0789031492256952,0.100847338820265,0,0,15.327,37.42,37.42
"spline",50,0.94,0.00817905625931391,0.0117779752121188,0.0128666560445531,0.0194112119751917,0.0734688596712963,0.111334592445313,0.0174755383870926,0.0163000026086375,0.124222704984739,0.16196527006294,0.188977766837839,0.222191127380718,0.675602894464539,0.828293515723458,0.0815087914810676,0.103325368605978,0.146868929403106,0.0977788116534007,2.34380000000001,23.38,23.38
"chebyshev",50,1,0.00812185346664066,0.0116001303229693,0.012926724681321,0.019301681128652,0.0732090960524607,0.112350648696209,0.0180244004836245,0.0160067945108871,0.124195725903022,0.161925354914171,0.189033186697494,0.222091519597282,0.674083512684593,0.82529933675577,0.0801826496121209,0.101981700035504,0.14792716280624,0.0977934611603757,1.77479999999999,21,21
