"region","n","mean_abs_diff","median_abs_diff","max_abs_diff","share_gt_1e6","share_gt_1e4","share_gt_1e2"
"interior_stable",84,4.88300052017005e-07,2.05302441713684e-12,2.54735393427907e-05,0.0595238095238095,0,0
"transition",56,0.000983548777587132,7.44698747112693e-10,0.034398641447523,0.285714285714286,0.160714285714286,0.0178571428571429
"low_separation",28,0.00723746728227054,1.71665015535893e-10,0.0919429824584359,0.285714285714286,0.214285714285714,0.107142857142857
"high_dependence",70,0.0466953015365851,4.34323391873548e-06,1.10936030539448,0.542857142857143,0.385714285714286,0.185714285714286
"high_t_low_q",14,1.10032552085355,0.500924619280976,3.85083534197322,0.857142857142857,0.857142857142857,0.642857142857143
