"benchmark","method","n_total","n_used","reference_convergence_rate","mean_weighted_mae","median_weighted_mae","p95_weighted_mae","mean_weighted_rmse","mean_max_abs_err","mean_stress_weight_share"
"reduced","spline",50,47,0.94,0.00482659501651784,0.003836871721711,0.0121478314492149,0.0298177437934193,0.295706582187189,0.0024822695035461
"reduced","chebyshev",50,47,0.94,0.00578801828178228,0.00476755712048535,0.0134718338320309,0.0302653397472145,0.297407263787118,0.0024822695035461
"practical","spline",50,43,0.86,0.00591796641903424,0.00405014092124738,0.0141835610691455,0.0340139187066324,0.319066484912521,0.00155038759689922
"practical","chebyshev",50,43,0.86,0.00691555181332325,0.00520736647162169,0.0153669634737214,0.0344352645748384,0.320134945097267,0.00155038759689922
