"benchmark","n","mean_clip_share_any","p95_clip_share_any","max_clip_share_any","mean_clip_share_x","mean_clip_share_q","mean_clip_share_t"
"Example 1 practical",43,0.0410852713178295,0.0625,0.0666666666666667,0.00833333333333333,0.0343023255813954,0
"Example 1 reduced",47,0.0429078014184397,0.0583333333333333,0.0666666666666667,0.00789007092198581,0.0359929078014184,0.000177304964539007
"Example 2 practical",50,0.00649556643379687,0.0099579161696964,0.0111111111111111,0,0.00239256431097486,0.00410300212282201
