"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","alpha_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","optimization_time","converged","fncount","grcount"
"reference",1.1667275094518,0.311815122405204,0,0,-0.0332724905482007,0.011815122405204,0,0,8.18,TRUE,10,10
"spline",1.16921954792044,0.312299416154601,0.00249203846863577,0.000484293749396791,-0.0307804520795649,0.0122994161546008,0.292394610696647,0.000873668510165145,0.17,TRUE,10,10
"chebyshev",1.16914577738018,0.312297269469899,0.00241826792837752,0.000482147064695237,-0.0308542226198232,0.0122972694698992,0.279641932735103,0.000835563795687911,0.23,TRUE,10,10
