"x","q","t","value","nu","backend"
-2,14.5833333333333,0,0,6,"series_reference"
-1.5,14.5833333333333,0,0,6,"series_reference"
-1,14.5833333333333,0,0,6,"series_reference"
-0.5,14.5833333333333,0,0,6,"series_reference"
0,14.5833333333333,0,0,6,"series_reference"
0.5,14.5833333333333,0,0,6,"series_reference"
1,14.5833333333333,0,0,6,"series_reference"
1.5,14.5833333333333,0,0,6,"series_reference"
2,14.5833333333333,0,0,6,"series_reference"
2.5,14.5833333333333,0,0,6,"series_reference"
3,14.5833333333333,0,0,6,"series_reference"
3.5,14.5833333333333,0,0,6,"series_reference"
4,14.5833333333333,0,0,6,"series_reference"
-4,16.6666666666667,0,0,6,"series_reference"
-3.5,16.6666666666667,0,0,6,"series_reference"
-3,16.6666666666667,0,0,6,"series_reference"
-2.5,16.6666666666667,0,0,6,"series_reference"
-2,16.6666666666667,0,0,6,"series_reference"
-1.5,16.6666666666667,0,0,6,"series_reference"
-1,16.6666666666667,0,0,6,"series_reference"
-0.5,16.6666666666667,0,0,6,"series_reference"
0,16.6666666666667,0,0,6,"series_reference"
0.5,16.6666666666667,0,0,6,"series_reference"
1,16.6666666666667,0,0,6,"series_reference"
1.5,16.6666666666667,0,0,6,"series_reference"
2,16.6666666666667,0,0,6,"series_reference"
2.5,16.6666666666667,0,0,6,"series_reference"
3,16.6666666666667,0,0,6,"series_reference"
3.5,16.6666666666667,0,0,6,"series_reference"
4,16.6666666666667,0,0,6,"series_reference"
-4,18.75,0,0,6,"series_reference"
-3.5,18.75,0,0,6,"series_reference"
-3,18.75,0,0,6,"series_reference"
-2.5,18.75,0,0,6,"series_reference"
-2,18.75,0,0,6,"series_reference"
-1.5,18.75,0,0,6,"series_reference"
-1,18.75,0,0,6,"series_reference"
-0.5,18.75,0,0,6,"series_reference"
0,18.75,0,0,6,"series_reference"
0.5,18.75,0,0,6,"series_reference"
1,18.75,0,0,6,"series_reference"
1.5,18.75,0,0,6,"series_reference"
2,18.75,0,0,6,"series_reference"
2.5,18.75,0,0,6,"series_reference"
3,18.75,0,0,6,"series_reference"
3.5,18.75,0,0,6,"series_reference"
4,18.75,0,0,6,"series_reference"
-4,20.8333333333333,0,0,6,"series_reference"
-3.5,20.8333333333333,0,0,6,"series_reference"
-3,20.8333333333333,0,0,6,"series_reference"
-2.5,20.8333333333333,0,0,6,"series_reference"
-2,20.8333333333333,0,0,6,"series_reference"
-1.5,20.8333333333333,0,0,6,"series_reference"
-1,20.8333333333333,0,0,6,"series_reference"
-0.5,20.8333333333333,0,0,6,"series_reference"
0,20.8333333333333,0,0,6,"series_reference"
0.5,20.8333333333333,0,0,6,"series_reference"
1,20.8333333333333,0,0,6,"series_reference"
1.5,20.8333333333333,0,0,6,"series_reference"
2,20.8333333333333,0,0,6,"series_reference"
2.5,20.8333333333333,0,0,6,"series_reference"
3,20.8333333333333,0,0,6,"series_reference"
3.5,20.8333333333333,0,0,6,"series_reference"
4,20.8333333333333,0,0,6,"series_reference"
-4,22.9166666666667,0,0,6,"series_reference"
-3.5,22.9166666666667,0,0,6,"series_reference"
-3,22.9166666666667,0,0,6,"series_reference"
-2.5,22.9166666666667,0,0,6,"series_reference"
-2,22.9166666666667,0,0,6,"series_reference"
-1.5,22.9166666666667,0,0,6,"series_reference"
-1,22.9166666666667,0,0,6,"series_reference"
-0.5,22.9166666666667,0,0,6,"series_reference"
0,22.9166666666667,0,0,6,"series_reference"
0.5,22.9166666666667,0,0,6,"series_reference"
1,22.9166666666667,0,0,6,"series_reference"
1.5,22.9166666666667,0,0,6,"series_reference"
2,22.9166666666667,0,0,6,"series_reference"
2.5,22.9166666666667,0,0,6,"series_reference"
3,22.9166666666667,0,0,6,"series_reference"
