"method","label","grid_label","fit_seconds","mean_local_value_error","mean_local_grad_error","mean_local_hess_error","mean_abs_alpha_gap","mean_abs_b_gap","mean_parameter_gap","mean_criterion_gap_exact","mean_optimization_time","convergence_rate","total_cost_proxy","selected"
"spline","spline_15^3","15^3",0.189999999999998,0.0345204607264607,0.238311484994224,7.14470203975104,0.0237905822711016,0.0211955970108745,0.022493089640988,8.911858586177,0.234999999999992,1,0.42499999999999,FALSE
"spline","spline_21^3","21^3",0.949999999999989,0.00922621069496915,0.0706788244133967,5.69311682227274,0.013783986031336,0.0108038483383053,0.0122939171848207,1.91842276480111,0.283750000000005,1,1.23374999999999,FALSE
"spline","spline_27^3","27^3",6.31,0.00457465443833944,0.0366657427817662,5.33474652808537,0.0127582323847965,0.00994622060810941,0.0113522264964529,1.57569054577834,0.29249999999999,1,6.60249999999999,TRUE
"chebyshev","chebyshev_10^3","10^3",0.480000000000018,0.00492025891023698,0.0222472290330524,5.15289203309891,0.0126091086088888,0.00980081960693702,0.0112049641079129,1.50252378657751,0.323749999999983,1,0.803750000000001,FALSE
"chebyshev","chebyshev_14^3","14^3",9.38999999999999,0.00142706132237648,0.0140467406619554,5.16272248622089,0.0126856714611741,0.00988907107299036,0.0112873712670822,1.55667452138641,0.394999999999996,1,9.78499999999998,FALSE
"chebyshev","chebyshev_18^3","18^3",81.19,0.000205132891063223,0.0116925798027188,5.16380058724623,0.012689633130443,0.00988883271378208,0.0112892329221125,1.55758711666886,0.522500000000008,1,81.7125,TRUE
