"layer","reference_mean","spline_mean","chebyshev_mean","spline_speedup","chebyshev_speedup"
"Local block",0.04099,0.010795,0.00912249999999997,3.79712830013896,4.49328583173474
"Full reduced criterion",0.0414849999999999,0.0109400000000001,0.00928999999999991,3.79204753199266,4.46555435952641
"Full optimization",1.96599999999999,0.550000000000011,0.410000000000025,3.57454545454535,4.79512195121918
