"method","label","mean_value_error","mean_grad_error","mean_hess_error","sup_value_error","sup_grad_error","sup_hess_error","quadrature_mean_abs_diff_highres","quadrature_max_abs_diff_highres"
"chebyshev","selected",0.000208447184233732,0.010848057469837,5.00721110215985,0.00146760269766322,0.122500615380256,495.187966808328,0.00342803135925217,0.0936565554205462
"spline","selected",0.00450143984117117,0.0345525573464618,5.18620499670575,0.0290977902873996,0.175442032844006,495.199773933961,0.00342803135925217,0.0936565554205462
