"method","delta","b","nu","converged","objective_min","reference_criterion","delta_gap_vs_reference","b_gap_vs_reference","nu_gap_vs_reference","criterion_gap_exact","criterion_gap_exact_pct","optimization_time"
"reference",6.74046621404862,0.39400269729436,5,TRUE,-165.474580286664,165.474580286664,0,0,0,0,0,3.92
"spline",6.77684352812283,0.428837366642585,5,TRUE,-167.393155641967,165.238232208173,0.0363773140742074,0.0348346693482249,0,0.23634807849092,0.142830444459492,1.02000000000001
"chebyshev",6.70114818794609,0.441441866726208,4.70021710165664,TRUE,-167.855136191706,165.068314409697,-0.0393180261025314,0.0474391694318474,-0.299782898343365,0.406265876966899,0.245515580860271,1.23999999999998
