"x","q","t","region","reference","surrogate","value_error","grad_error","hess_error","method","label"
8.47979460736913,2.157699774033,0.763366372294189,"interior_stable",4.13204239751283,4.13330249767782,0.00126010016499478,0.0350079351508905,0.476259549236147,"spline","selected"
4.92531584425816,3.1983356038429,0.447572958593707,"interior_stable",1.45859690209072,1.43415159902911,0.0244453030616127,0.0366426871836356,57.1181808145092,"spline","selected"
2.28199882106349,4.28963399752175,0.77395334388984,"interior_stable",-1.70681421921003,-1.71721179030485,0.0103975710948265,0.0217868114909354,0.477107313653739,"spline","selected"
3.35826335648486,4.61786803932472,1.19357691587503,"interior_stable",-4.62595050248747,-4.62526018203619,0.000690320451284698,0.0261404521057312,1.43349687645814,"spline","selected"
6.99768939148344,4.94808282669944,0.397706999653258,"interior_stable",2.50757888554037,2.49966123644549,0.00791764909487913,0.0497461384447416,75.2342256185777,"spline","selected"
4.45485374330283,4.36401658115632,0.400817925993784,"interior_stable",0.460094085388412,0.456580076615158,0.00351400877325353,0.072895392375711,2.09584130831411,"spline","selected"
4.36846469190585,4.0840215603137,1.36141799356491,"interior_stable",-5.14115309777767,-5.13367290216317,0.00748019561449276,0.0322156781050128,2.24682018644008,"spline","selected"
3.01431224267999,3.20735021205619,0.578982614832749,"interior_stable",-0.357155722000767,-0.362109558011142,0.00495383601037475,0.0533855071245382,1.20919300049665,"spline","selected"
6.26901574868001,2.82401166341254,0.924480748511771,"interior_stable",1.91926511823279,1.93391255736467,0.0146474391318814,0.0110244345692855,1.43128084364326,"spline","selected"
5.31340117362578,3.21479967556831,1.21764171668149,"interior_stable",-1.01885464596662,-1.03364986016591,0.0147952141992929,0.0159496657412841,2.07802515597407,"spline","selected"
8.61635280044821,4.42397245248464,0.788136555449083,"interior_stable",2.51489943350465,2.50702329463872,0.0078761388659343,0.042639397864525,0.487232490244805,"spline","selected"
1.25238662055407,4.40425259505562,1.39385031261942,"interior_stable",-7.65332793687113,-7.64971928457588,0.00360865229525142,0.00723926494858678,0.624645235958016,"spline","selected"
