"method","n","convergence_rate","delta_gap_vs_reference_mean_abs","delta_gap_vs_reference_sd","b_gap_vs_reference_mean_abs","b_gap_vs_reference_sd","delta_error_vs_truth_mean_abs","delta_error_vs_truth_sd","b_error_vs_truth_mean_abs","b_error_vs_truth_sd","mean_abs_exact_criterion_gap","mean_abs_exact_criterion_gap_pct"
"reference",50,0.94,0,0,0,0,0.632674736484845,0.765188308872208,0.0821377180693857,0.107433333346814,0,0
"spline",50,1,0.0578552814764686,0.0737949379061496,0.0158212480470593,0.0159296144704435,0.643532449145266,0.785189557960909,0.0783660370302875,0.109286374452539,0.092514491168393,0.0649930158274624
"chebyshev",50,0.96,0.0574560122363142,0.0727280656712621,0.0162890258402411,0.016441544179075,0.641734919371973,0.782554351007656,0.0784800881648408,0.108787221766504,0.0910615857258159,0.063554697907523
