"method","delta","b","converged","objective_min","reference_criterion","delta_gap_vs_reference","b_gap_vs_reference"
"reference",7.63478101754021,0.301095235093606,TRUE,-182.233526299866,182.233526299866,0,0
"spline",7.65276104541662,0.312479502340835,TRUE,-182.610588102926,182.213706256126,0.0179800278764048,0.0113842672472287
"chebyshev",7.65575813526184,0.315869344194747,TRUE,-182.696288769121,182.200624231011,0.0209771177216229,0.0147741091011409
