"method","n_total","n_reference_converged","convergence_rate","mean_abs_delta_gap_vs_reference","sd_delta_gap_vs_reference","mean_abs_b_gap_vs_reference","sd_b_gap_vs_reference","mean_abs_nu_gap_vs_reference","sd_nu_gap_vs_reference","mean_abs_delta_error_vs_truth","sd_delta_error_vs_truth","mean_abs_b_error_vs_truth","sd_b_error_vs_truth","mean_abs_nu_error_vs_truth","sd_nu_error_vs_truth","mean_abs_exact_criterion_gap","mean_abs_exact_criterion_gap_pct","mean_time","sd_time"
"reference",20,18,0.9,0,0,0,0,0,0,0.730823616768993,0.923340511712366,0.0894364428019185,0.106194511216659,0.55099578882579,0.862467433124907,0,0,10.7495,12.6402454485663
"spline",20,18,1,0.0412410131330465,0.0557389842300217,0.0167566240351096,0.01540243431311,0.176087445272895,0.467991563102319,0.755192478885014,0.933352083106701,0.0921917748859664,0.107211256465416,0.704776924635736,0.916465180154242,0.125731254736875,0.0995161842768133,2.1175,0.867518390522491
"chebyshev",20,18,1,0.0397257712747771,0.0562407993284549,0.020103192795099,0.0153406009590862,0.402697435048021,0.807035554492212,0.746524023805787,0.932078274831051,0.0958738293597953,0.113490918322263,0.799681211634863,0.896458309322578,0.153294622594884,0.117403173584203,1.56799999999999,0.551405858739859
