"method","beta_intercept","beta_x1","delta","b","converged","objective_min","reference_criterion","beta_intercept_gap_vs_reference","beta_x1_gap_vs_reference","delta_gap_vs_reference","b_gap_vs_reference","optimization_time","fncount","grcount"
"reference",-0.473255629479303,0.94399336253726,6.66809054587252,0.228519884144733,TRUE,-158.789513649794,158.789513649794,0,0,0,0,4.03,19,19
"spline",-0.47362731488405,0.944213019248771,6.70135404168239,0.242681096129467,TRUE,-159.357548472139,158.745528170776,-0.000371685404747579,0.000219656711511251,0.0332634958098668,0.0141612119847334,1.65,16,16
"chebyshev",-0.474066128403524,0.944880573541854,6.70131697227023,0.247033866509556,TRUE,-159.356355823123,158.718453793482,-0.000810498924221414,0.000887211004594213,0.0332264263977073,0.0185139823648232,1.45,17,17
