"example","penalty","local_mean_abs_error","local_sup_abs_error","par1","par2","exact_criterion_at_optimum","optimization_time"
"example1_clayton","zero",0.00274393519888128,0.0995713960517919,-0.473627309753954,0.94421398655157,158.745521533912,1.64
"example1_clayton","tiny",0.00274439434176365,0.0995545530352895,-0.47362731488405,0.944213019248771,158.745528170776,1.55
"example2_factorcopula","zero",0.00450140520976297,0.0290969782333505,1.16921937137191,0.312299465264499,33467.1620679933,0.259999999999998
"example2_factorcopula","tiny",0.00450143984117241,0.0290977902874013,1.16921954792044,0.312299416154601,33467.1620568925,0.219999999999999
