"method","n","convergence_rate","positive_definite_rate","mean_lambda_min","mean_lambda_max","mean_condition_number","mean_delta_se_proxy","mean_b_se_proxy","mean_relative_covariance_gap_vs_reference","mean_abs_delta_se_gap_vs_reference","mean_abs_b_se_gap_vs_reference"
"reference",10,0.9,0.8,0.0738674824502247,246.86683274288,35.3713665528821,0.37549971193115,0.0664267239095706,NA,NA,NA
"spline",10,1,1,7.39395979271205,222.299381607574,32.7799016448543,0.384442581160431,0.0699253321973153,0.0425466366357798,0.00728091427345648,0.00256874126234896
"chebyshev",10,1,1,7.41303332986477,222.372414330059,32.9219150985326,0.383812073530567,0.0694274426912749,0.04422837022304,0.00775179477261399,0.00269057729196892
